"","HCN.Open","HCN.High","HCN.Low","HCN.Close","HCN.Volume","HCN.Adjusted"
"80",62.529999,62.889999,62.34,62.689999,2661200,60.658715
"81",62.57,62.799999,62.049999,62.299999,2679400,60.281352
"82",62.5,62.950001,62.130001,62.779999,2447600,60.745799
"83",63.040001,63.529999,62.810001,63.25,2121300,61.200571
"84",63.18,63.98,63.110001,63.490002,2389100,61.432796
"85",63.759998,64.839996,63.419998,64.830002,3088600,62.729378
"86",64.93,65.620003,64.510002,64.949997,2978400,62.845485
"87",65.139999,66.93,65,66.480003,3603100,64.325916
"88",66.690002,67.190002,66.279999,66.580002,2410400,64.422674
"89",66.830002,67.629997,66.610001,67.419998,3904100,65.235453
"90",67.050003,67.889999,66.779999,67.660004,3189800,65.467682
"91",67.230003,67.860001,67.07,67.550003,2601100,65.361245
"92",67.769997,67.889999,66.199997,67,2658500,64.829063
"93",67.019997,68.059998,66.690002,68.050003,1862300,65.845044
"94",68.010002,68.199997,67.290001,68.190002,1946200,65.980507
"95",68.160004,68.620003,67.779999,68.260002,1714500,66.048239
"96",68.5,68.879997,68.040001,68.82,1884300,66.590091
"97",68.650002,68.940002,68.389999,68.860001,1151300,66.628796
"98",68.839996,69.489998,68.480003,69.449997,1831300,67.199675
"99",69.400002,69.709999,68.989998,69.699997,1210700,67.441575
"100",69.580002,69.68,68.660004,69.209999,2063600,66.967454
"101",68.959999,70.110001,68.900002,70.080002,1729800,67.809267
"102",70.57,71.150002,69.949997,71.110001,3008100,68.805892
"103",71.309998,71.370003,70.739998,71.300003,2733000,68.989738
"104",71.059998,72.239998,70.830002,72.230003,2422500,69.889604
"105",72.220001,72.449997,71.160004,71.57,2134800,69.250986
"106",70.779999,71.220001,70.129997,70.160004,3174100,68.649235
"107",70.370003,71.139999,69.980003,70.620003,2663700,69.099329
"108",70.599998,71.300003,70.489998,71.139999,2318000,69.608128
"109",71.120003,71.239998,70.330002,70.839996,1211600,69.314585
"110",70.949997,71.07,70.339996,70.720001,1237300,69.197174
"111",70.879997,71.43,70.720001,71.25,1126600,69.71576
"112",70.910004,71.5,70.779999,71.169998,1622200,69.637481
"113",71.410004,72.220001,71.309998,72.169998,1645800,70.615948
"114",72.120003,72.809998,71.769997,72.43,1948900,70.870351
"115",72.190002,72.370003,71.489998,71.559998,1905600,70.019082
"116",71.690002,71.760002,70.940002,71.68,2168500,70.136501
"117",72.300003,72.739998,71.860001,72.720001,1830100,71.154108
"118",72.889999,73.07,72.18,72.290001,1278800,70.733367
"119",72.510002,72.940002,72.220001,72.43,3173100,70.870351
"120",72.589996,73.110001,72.449997,72.970001,1610200,71.398724
"121",73.190002,74.379997,72.949997,73.660004,1243500,72.073869
"122",73.529999,75,73.43,74.510002,2039200,72.905564
"123",74.300003,74.830002,73.760002,74.769997,1612900,73.15996
"124",75.120003,75.43,74.370003,74.879997,1612300,73.267592
"125",75.029999,75.389999,74.529999,75.239998,1687600,73.619841
"126",74.760002,74.760002,73.220001,73.989998,2034100,72.396757
"127",73.959999,75.309998,73.959999,74.769997,2228800,73.15996
"128",74.459999,76.080002,74.459999,75.550003,1934400,73.92317
"129",75.519997,76.400002,75.360001,76.110001,2721600,74.471109
"130",76.400002,76.879997,76.080002,76.370003,1861300,74.725513
"131",76.220001,77.110001,76.220001,76.260002,2237400,74.617881
"132",76.279999,76.620003,74.93,75.139999,2421900,73.521995
"133",75.18,75.489998,74.419998,74.480003,2198000,72.876211
"134",74.790001,76.800003,74.769997,76.349998,2862600,74.705939
"135",76.769997,77.080002,75.18,76.260002,3551400,74.617881
"136",76.150002,76.779999,75.650002,76.5,4002000,74.852711
"137",76.739998,78.110001,76.5,77.980003,2208900,76.300845
"138",78.019997,78.169998,76.529999,76.68,1811200,75.028835
"139",76.699997,77.279999,76.059998,76.099998,930700,74.461323
"140",76.419998,77,76.290001,76.790001,1025300,75.136467
"141",76.720001,77.230003,76.330002,76.620003,2063800,74.97013
"142",76.75,77.540001,76.5,76.720001,1727800,75.067975
