"","WYN.Open","WYN.High","WYN.Low","WYN.Close","WYN.Volume","WYN.Adjusted"
"34",78.25,78.639999,77.389999,77.400002,1339100,75.993934
"35",77.43,77.980003,76.419998,76.470001,953300,75.080829
"36",76.910004,77.169998,76.120003,77.050003,1028800,75.650294
"37",77.120003,77.330002,75.519997,75.550003,743800,74.177543
"38",75.660004,76.489998,75.18,75.889999,1090900,74.511363
"39",75.889999,77.230003,75.639999,77.080002,945800,75.679748
"40",76.519997,76.889999,75.620003,75.919998,921000,74.540817
"41",75.610001,76.269997,75.480003,75.830002,555900,74.452456
"42",76.120003,76.389999,74.779999,74.82,924100,73.460801
"43",75,76.389999,74.940002,76.330002,887600,74.943372
"44",76.760002,78.669998,76.760002,78.290001,1372800,76.867766
"45",78.410004,78.559998,77.68,78.190002,822700,76.769584
"46",78.709999,79.239998,78.410004,78.830002,850300,77.397957
"47",78.989998,79.839996,78.629997,79.830002,798300,78.379791
"48",79.849998,80,78.489998,79.190002,1317600,77.751418
"49",79.830002,79.900002,79.379997,79.68,882000,78.232514
