"","ZMH.Open","ZMH.High","ZMH.Low","ZMH.Close","ZMH.Volume","ZMH.Adjusted"
"86",51.950001,52.02,51.41,51.619999,1519400,49.925148
"87",51.470001,51.52,49.73,50.98,4731500,49.306162
"88",51.34,51.459999,49.57,50.5,4232100,48.841922
"89",50.5,50.919998,49.98,50.310001,2093900,48.658162
"90",50.700001,51.310001,50.290001,51.220001,2204000,49.538284
"91",51.299999,52.330002,51.18,52.23,1927600,50.515121
"92",51.389999,51.5,50.5,50.66,2708300,48.996669
"93",51.66,51.73,50.549999,50.68,2827900,49.016013
"94",50.950001,51.799999,50.830002,51.380001,1795800,49.69303
"95",51.34,51.470001,51.119999,51.290001,796900,49.605985
"96",51.580002,52.049999,51.52,51.560001,1271300,49.867121
"97",51.360001,52,51.150002,51.889999,1348600,50.186284
"98",51.52,52.080002,50.98,51.889999,2422200,50.186284
"99",50.259998,50.759998,47.599998,49.41,7747400,47.787711
"100",48.669998,49,47.09,47.439999,7030600,45.882391
"101",47.740002,48.279999,47.52,48.099998,3478800,46.520721
"102",48.360001,49.18,48.110001,48.990002,3107900,47.381502
"103",49,49.779999,48.740002,49.599998,3150600,47.971471
"104",50.110001,50.900002,49.950001,50.759998,4629400,49.093384
"105",50.810001,52.490002,50.810001,51.810001,4045600,50.108912
"106",51.900002,51.919998,51.380001,51.580002,2292100,49.886464
"107",51.900002,52.220001,51.529999,52.07,2635900,50.360374
"108",52.009998,52.25,51.09,51.689999,2178400,49.99285
"109",51.150002,51.380001,50.709999,51.290001,2875800,49.605985
"110",50.970001,51.220001,50.75,50.950001,2273600,49.277148
"111",51.099998,51.25,50.689999,50.700001,1857000,49.035357
"112",50.5,50.610001,50.209999,50.220001,2363600,48.571117
"113",50.119999,50.59,50,50,1706500,48.358339
"114",50.450001,51.080002,50.279999,50.59,1439500,48.928968
"115",50.5,50.880001,50.43,50.509998,1226800,48.851593
"116",50.259998,50.73,49.970001,50.220001,1799400,48.571117
"117",49.639999,50.310001,49.57,50.02,1766800,48.377683
"118",50.48,50.650002,50.220001,50.439999,1006100,48.783891
"119",50.07,50.529999,49.91,50.110001,273600,48.464728
"120",49.84,50.099998,49.650002,49.939999,1209500,48.300308
"121",49.41,49.759998,49.200001,49.259998,1921400,47.642634
"122",49.75,50.459999,49.75,50.130001,2059500,48.484072
"123",50.009998,50.349998,49.990002,50.139999,2018000,48.493742
"124",49.900002,50.380001,49.810001,50.02,1862100,48.377683
"125",49.84,50.240002,49.599998,49.919998,1331200,48.280964
"126",50.389999,50.560001,50.02,50.27,2635400,48.619475
"127",50.27,51.5,50.27,51.41,2204400,49.722044
"128",51.580002,51.91,51.299999,51.860001,1519000,50.15727
"129",52,53.209999,51.830002,53.110001,2411600,51.366228
"130",53.27,53.32,52.299999,52.360001,1712200,50.640853
"131",52.32,53.849998,52.32,53.619999,2287000,51.859482
"132",53.459999,54.5,53.360001,53.700001,2868900,51.936857
"133",53.669998,54.189999,53.119999,54.130001,1942700,52.352739
"134",53.98,54.73,53.860001,54.5,2678100,52.71059
"135",54.700001,54.700001,54.130001,54.490002,1686600,52.70092
"136",54.34,54.740002,54,54.099998,1756600,52.323721
"137",54.119999,54.970001,53.900002,54.970001,1265300,53.165159
"138",54.790001,54.990002,54.32,54.419998,888100,52.633214
"139",54.200001,54.529999,54.02,54.450001,579000,52.662232
"140",54.470001,54.540001,54.139999,54.16,770600,52.381753
"141",54.299999,54.540001,53.970001,53.970001,606400,52.197992
"142",53.919998,54.16,53.689999,53.900002,679700,52.130291
"143",53.900002,54.16,53.59,53.68,719600,51.917513
"144",54.099998,55.049999,53.84,54.970001,1893800,53.165159
"145",54.959999,55.110001,54.099998,54.240002,1800300,52.459128
"146",53.98,54.279999,53.91,54.279999,1803000,52.497812
"147",54.02,54.040001,52.16,52.599998,4292700,50.872971
"148",52.75,52.779999,52.150002,52.59,2686900,50.863301
"149",52.77,53.09,52.509998,53,2237600,51.259839
"150",53.849998,55.490002,53.810001,54.889999,3188900,53.087784
"151",55.139999,55.700001,54.799999,55.700001,2103600,53.87119
"152",55.599998,55.68,55.240002,55.439999,1129400,53.619725
"153",55.130001,55.869999,55.02,55.77,1445200,53.938892
"154",55.810001,56.34,55.580002,56.16,1568900,54.316086
"155",56.27,56.599998,55.709999,55.93,2109900,54.093638
"156",55.959999,56.34,55.57,55.84,1588500,54.006593
"157",56.310001,57.259998,55.939999,56.360001,2266800,54.50952
"158",56.240002,56.48,55.169998,55.43,1922000,53.610055
"159",55.060001,56.5,54.830002,56.380001,2634600,54.528864
"160",56.450001,56.57,54.900002,55.279999,3396900,53.464978
"161",58.009998,60.68,57.599998,59.080002,5180500,57.140215
"162",58.98,59.200001,58.43,58.580002,2587400,56.656632
"163",58.669998,59.43,58.5,59.16,2001600,57.217587
"164",59.349998,60.400002,59.32,60.209999,1676500,58.233111
"165",59.919998,60.66,59.529999,60.52,2004100,58.532934
"166",60.220001,60.619999,60.02,60.5,2279300,58.51359
"167",60.5,60.740002,59.98,60.650002,2445600,58.658667
"168",60.630001,60.68,59.939999,59.990002,2767800,58.020337
"169",60.07,60.5,59.759998,59.959999,1785600,57.991319
"170",59.799999,60.080002,58.830002,59.369999,2352000,57.420691
"171",59.029999,60.349998,59.029999,60.049999,2170200,58.078364
"172",59.73,60.759998,59.509998,60.630001,1967400,58.639323
"173",60.580002,60.970001,60.5,60.779999,658900,58.784396
"174",60.48,60.849998,60.34,60.669998,861900,58.678007
"175",60.790001,61.439999,60.619999,61.310001,1205500,59.296997
"176",60.950001,62.299999,60.799999,62.25,1846200,60.206132
"177",63.110001,65.220001,62.560001,63.73,2896100,61.637539
"178",62.700001,63.18,61.939999,62,3326600,59.96434
"179",63.200001,63.459999,61.450001,61.459999,2784600,59.44207
"180",61.560001,61.970001,60.740002,61.009998,1840400,59.006844
"181",61.34,62.330002,61.330002,62,1804000,59.96434
"182",62.130001,62.860001,61.779999,62.34,1544400,60.293177
"183",63.330002,63.330002,61.209999,61.220001,1464700,59.209952
"184",61.060001,62.27,60.599998,62.209999,1535800,60.167445
"185",62.610001,63.400002,62.470001,63.220001,1346700,61.144285
"186",63.060001,63.349998,62.380001,62.75,1106000,60.689716
"187",62.91,62.990002,61.599998,61.869999,1643600,59.838608
"188",61.98,63,61.689999,62.779999,1037400,60.718729
"189",62.700001,63.27,62.630001,63.009998,891700,60.941177
"190",62.32,62.400002,61.27,61.27,1470900,59.258309
"191",61.419998,61.900002,60.689999,61.68,914100,59.654847
"192",61.23,61.48,60.369999,61.02,1055200,59.016517
"193",59.75,60.849998,59.360001,60.669998,1692600,58.678007
"194",60.360001,60.889999,59.119999,59.41,2031700,57.459378
"195",60.23,60.389999,59.5,59.709999,1033900,57.749528
"196",60.450001,61,60.029999,60.310001,1586200,58.32983
"197",60.91,61.66,60.91,61.360001,1163400,59.345354
"198",61.349998,61.380001,60.75,60.75,1007800,58.755382
"199",60.540001,60.799999,59.709999,60.099998,1508800,58.126722
"200",60.27,60.380001,59.630001,60,1498300,58.030007
"201",60.16,61.07,60.110001,60.740002,875700,58.745712
"202",60.77,60.939999,60.509998,60.57,608300,58.581292
"203",60.68,61.049999,60.259998,60.959999,913000,58.958486
"204",61.02,61.27,60.889999,60.950001,767200,58.948816
"205",60.700001,60.919998,60.400002,60.529999,1039300,58.542604
"206",60.869999,61.720001,60.830002,61.279999,1278200,59.267979
"207",61.27,61.419998,60.540001,60.82,1116700,58.823083
"208",60.610001,60.68,60.130001,60.380001,1292700,58.397531
"209",60.639999,61.259998,60.509998,60.700001,3137700,58.707024
"210",60.549999,61.43,60.439999,60.700001,1225800,58.707024
"211",61,61.049999,59.779999,59.91,1322700,57.942962
"212",60.049999,60.610001,59.919998,60.419998,907600,58.436215
"213",59.720001,60.41,59.490002,59.66,1312200,57.70117
"214",59.77,60.150002,59.52,59.869999,1030700,57.904274
"215",59.650002,60.880001,59.509998,60.169998,1597100,58.194423
"216",60.330002,62.43,60.330002,62,2290300,59.96434
"217",61.560001,61.68,61.09,61.41,1101100,59.393712
"218",61.509998,63.32,61.400002,63.32,2112100,61.241
"219",62.77,62.810001,61.18,61.540001,3172700,59.519445
"220",61.860001,62.369999,61.610001,62.240002,1111200,60.196462
"221",62.119999,62.43,61.400002,61.439999,759600,59.422726
"222",61.57,62.93,61.439999,62.790001,1700000,60.728403
"223",62.759998,63.32,62.189999,62.91,1572900,60.844462
"224",64.099998,66.669998,64.019997,65.760002,4135400,63.60089
"225",66.290001,66.75,65.220001,65.25,2359100,63.107632
"226",65.660004,66.669998,65.57,65.889999,1701900,63.726619
"227",65.620003,66.279999,65.449997,66.139999,1200400,63.96841
"228",66.160004,66.290001,65.519997,66.169998,1743000,63.997424
"229",65.779999,67.360001,65.709999,66.32,2281900,64.142501
"230",67.139999,68.139999,66.580002,67.5,3163400,65.283758
"231",67.370003,68.029999,67.029999,67.940002,1597800,65.709313
"232",68.150002,69.739998,68.080002,69.690002,2517100,67.401855
"233",69.279999,69.93,68.900002,69.150002,3158900,66.879584
"234",69.010002,69.75,68.779999,69.540001,2066800,67.256779
"235",69.5,69.870003,68.480003,68.889999,998400,66.628119
"236",68.739998,69,68.610001,68.879997,1177200,66.618445
"237",68.540001,68.889999,68.220001,68.800003,1380200,66.541078
"238",68.68,69.110001,68.599998,68.870003,1814500,66.608779
"239",68.980003,69,68.040001,68.279999,1848600,66.038147
"240",68.239998,68.419998,67.239998,67.699997,1402400,65.477188
"241",67.120003,67.309998,66.57,67,1394200,64.800174
"242",67.040001,67.269997,66.790001,66.970001,1489500,64.771161
"243",66.639999,67.279999,66.419998,67.169998,1955600,64.964591
"244",67.169998,68.029999,66.849998,68.029999,1391500,65.796355
"245",68.040001,68.379997,67.809998,68.18,861300,65.941431
"246",68.470001,68.639999,67.610001,67.760002,1617700,65.535223
"247",67.68,68.059998,66.529999,66.529999,1060000,64.345605
"248",66.5,66.620003,65.910004,66.330002,1641800,64.152174
"249",65.559998,65.900002,65.300003,65.82,1954700,63.658917
"250",65.739998,65.739998,65.110001,65.110001,1052700,62.97223
"251",65.339996,65.449997,64.459999,64.470001,1626300,62.353244
"252",64.279999,64.449997,63.259998,63.43,2322000,61.347389
"253",63.73,64.419998,63.509998,64.050003,1064500,61.947035
