"","UPS.Open","UPS.High","UPS.Low","UPS.Close","UPS.Volume","UPS.Adjusted"
"94",69.949997,70,68.610001,69.589996,6172200,60.764628
"95",69.610001,69.949997,69.120003,69.830002,2969600,60.974197
"96",69.940002,69.989998,69.25,69.32,4036000,60.528873
"97",69.040001,69.629997,68.669998,69.419998,2869300,60.616189
"98",68.940002,69.099998,67.449997,67.980003,5400400,59.358814
"99",68.25,68.400002,66.970001,67.660004,5237100,59.079396
"100",67.459999,67.540001,67,67.339996,4329100,58.799972
"101",67.379997,68.029999,66.93,67.339996,2841000,58.799972
"102",67.980003,68.540001,67.910004,68.300003,3069000,59.638231
"103",68.309998,68.699997,67.699997,68.629997,2704500,59.926376
"104",69.089996,69.639999,68.68,69.370003,4203400,60.572534
"105",69.339996,69.959999,69.279999,69.790001,3685200,60.939268
"106",69.610001,69.610001,68.949997,69.480003,3304700,60.668585
"107",69.830002,69.879997,68.739998,68.989998,4615200,60.240721
"108",68.260002,68.510002,67.610001,68.07,4962500,59.845098
"109",67.769997,68.339996,67.480003,68.279999,2770800,60.029722
"110",68.089996,68.360001,67.760002,68.120003,2802100,59.889059
"111",68.230003,68.730003,67.940002,68.07,2456100,59.845098
"112",67.699997,67.910004,66.900002,67.510002,4070300,59.352765
"113",67.400002,67.620003,66.970001,67.239998,2560500,59.115385
"114",67.93,68.629997,67.75,68.169998,2885300,59.933013
"115",68.209999,69.110001,67.870003,69.110001,4166400,60.759435
"116",68.769997,69.080002,68.150002,68.790001,3441300,60.478101
"117",68.010002,68.260002,67.43,68.160004,3775400,59.924226
"118",68.550003,69.870003,68.550003,69.589996,4635100,61.181433
"119",69.089996,69.480003,68.949997,69.099998,1842200,60.750642
"120",68.959999,69.980003,68.589996,69.879997,5209100,61.436393
"121",69.260002,70.650002,69.059998,70.129997,7606600,61.656186
"122",70.970001,71.900002,70.870003,71.440002,5762100,62.807903
"123",71.449997,72.199997,71.43,71.860001,4513800,63.177152
"124",71.440002,71.879997,70.870003,71.800003,3859200,63.124404
"125",71.669998,72.019997,71.220001,71.690002,3498500,63.027695
"126",72.150002,72.419998,71.599998,71.690002,4994600,63.027695
"127",71.739998,72.169998,71.389999,72.010002,2932200,63.309029
"128",72.309998,73.589996,72.300003,73.040001,6291600,64.214573
"129",73.349998,73.57,72.349998,72.889999,3404000,64.082696
"130",73.239998,73.239998,72.709999,72.769997,2979200,63.977194
"131",73.040001,73.080002,72.139999,72.599998,3857900,63.827736
"132",72.160004,72.800003,72.019997,72.25,3520800,63.520028
"133",72.25,73.940002,71.57,73.760002,7250500,64.847577
"134",73.739998,73.879997,72.879997,73.059998,6813000,64.232154
"135",73.43,73.540001,72.330002,72.739998,3515200,63.95082
"136",73,73.18,72.860001,72.879997,2127400,64.073903
"137",73.059998,73.18,72.669998,72.860001,1531600,64.056322
"138",72.879997,72.970001,72.5,72.730003,1540500,63.942033
"139",72.5,73.150002,72.370003,72.809998,1612800,64.012361
"140",72.949997,73.129997,72.68,72.809998,1632900,64.012361
"141",72.790001,72.980003,72.540001,72.68,1484700,63.898072
"142",72.669998,73.099998,72.519997,72.68,1443000,63.898072
"143",72.650002,73.059998,72.5,72.580002,2054500,63.810156
"144",73.18,73.889999,72.860001,72.949997,4232600,64.135445
"145",72.889999,73.139999,72.339996,72.790001,3834900,63.994781
"146",72.160004,73.209999,72.139999,72.900002,3391300,64.09149
"147",72.879997,72.989998,72.209999,72.489998,3354100,63.731027
"148",72.809998,72.919998,71,72.150002,7145200,63.432113
"149",71.739998,72.529999,71.470001,72.139999,2783300,63.423319
"150",72.300003,72.330002,71.279999,71.75,3020900,63.080443
"151",72.239998,72.400002,71.760002,71.949997,2498300,63.256275
"152",71.849998,72.470001,71.559998,72.25,2397900,63.520028
"153",72.059998,72.870003,72.029999,72.480003,2422900,63.72224
"154",72.699997,73.199997,72.650002,73.019997,4370800,64.196986
"155",72.900002,73.089996,71.790001,72.18,3354500,63.458487
"156",72.389999,72.849998,71.980003,72.660004,4188200,63.880491
"157",73.019997,73.089996,72.449997,72.889999,4601400,64.082696
"158",72.769997,73.25,72.440002,73.209999,3255700,64.364031
"159",73.18,73.400002,72.459999,72.830002,3820100,64.029948
"160",73.029999,73.300003,72.480003,72.870003,2825700,64.065116
"161",73.150002,73.400002,72.449997,72.910004,3096100,64.100284
"162",72.93,72.959999,70.639999,70.730003,5646400,62.183693
"163",70.809998,71.660004,70.349998,71.620003,5369500,62.966154
"164",74,75.190002,73.779999,74.589996,12457000,65.577283
"165",74.779999,74.839996,73.900002,74.040001,4992300,65.093743
