"","ROK.Open","ROK.High","ROK.Low","ROK.Close","ROK.Volume","ROK.Adjusted"
"1002",122.57,123.599998,122.269997,122.480003,561900,119.823944
"1003",122.540001,123,122.139999,122.349998,401000,119.696758
"1004",123.230003,125.389999,123.099998,125.300003,907800,122.58279
"1005",125.5,126.529999,125.419998,126.339996,404100,123.60023
"1006",126,128.570007,125.919998,127.830002,729300,125.057924
"1007",127.830002,128,126.18,126.639999,518100,123.893727
"1008",126.239998,126.300003,125.57,126.169998,387400,123.433919
"1009",126.080002,126.459999,124.879997,125.300003,621600,122.58279
"1010",125.18,125.910004,124.349998,125.620003,542400,122.89585
"1011",126.07,126.470001,125.010002,125.660004,341100,122.934984
"1012",125.300003,127.199997,125.099998,126.93,449600,124.177439
"1013",127.139999,127.269997,124.949997,125.690002,850800,122.964332
"1014",126.269997,126.269997,125.07,125.339996,811600,122.621916
"1015",124.830002,127.260002,124.550003,127.239998,775200,124.480715
"1016",127.879997,127.879997,126.099998,126.480003,316400,123.737201
"1017",125.830002,126.739998,124.269997,124.279999,396100,121.584905
"1018",124.300003,125.620003,124.300003,124.739998,489000,122.034929
"1019",124.879997,125.230003,123.889999,124.709999,361500,122.00558
"1020",124.099998,126.029999,124.099998,125.839996,382000,123.111073
"1021",125.449997,125.839996,124.720001,125.160004,643500,122.445826
"1022",125.669998,126.839996,125.150002,125.690002,613800,122.964332
"1023",125.830002,126.059998,124.620003,125.25,476800,122.533871
"1024",126.010002,126.82,125.110001,126.190002,395400,123.453489
"1025",125.860001,125.889999,124.529999,125.25,470400,122.533871
"1026",124.860001,125.279999,124.019997,124.080002,555100,121.389245
"1027",124.370003,124.980003,124.089996,124.57,352700,121.868617
