"","MTB.Open","MTB.High","MTB.Low","MTB.Close","MTB.Volume","MTB.Adjusted"
"398",77.620003,79.440002,77.139999,79.230003,768600,72.237759
"399",79,79.919998,78.209999,79.449997,809000,72.438337
"400",77.839996,79.699997,77.660004,79.629997,1303700,72.602452
"401",79.980003,80.949997,79.580002,80.139999,1021900,73.067445
"402",80.010002,80.68,78.989998,80.610001,757700,73.495968
"403",80.949997,81.599998,79.75,81.449997,1013200,74.261832
"404",80.790001,82.790001,80.080002,82.339996,1285600,75.073287
"405",80.68,82.510002,78.120003,81.040001,1641900,73.888019
"406",81.199997,81.900002,80.18,81.720001,781700,74.508008
"407",81.519997,81.900002,80.540001,81.790001,698200,74.57183
"408",81.709999,81.970001,80.879997,81.720001,643700,74.508008
"409",81.790001,82.970001,81.419998,82.029999,513700,74.790648
"410",81.459999,81.839996,80.900002,81.690002,636300,74.480657
"411",81.449997,82.279999,80.660004,82,625000,74.763296
"412",82.5,82.5,79.160004,80.139999,707200,73.067445
"413",79.790001,80.620003,79.519997,80.110001,534300,73.040094
"414",79.43,80.18,79.32,79.879997,423600,72.830389
"415",80.339996,80.919998,79.489998,79.739998,502100,72.702745
"416",80.110001,81.150002,79.809998,80.209999,707000,73.131267
"417",80.449997,80.980003,79.93,80.550003,357800,73.441265
"418",81.82,82.800003,81.550003,82.449997,615900,75.17358
"419",81.970001,82.25,80.720001,80.989998,471000,73.842429
"420",80.650002,81.830002,80.599998,81.370003,412000,74.188898
"421",81.5,81.919998,80.919998,81.709999,398400,74.498889
"422",81.940002,82.040001,80.559998,80.809998,483900,73.678314
"423",79.519997,80.099998,79.389999,79.800003,407200,72.757454
"424",80.589996,81.050003,80.239998,80.660004,466600,73.541558
"425",80.400002,81.160004,79.57,81.029999,752100,73.8789
"426",81.349998,81.699997,80.839996,80.980003,729900,73.833317
"427",81,82,80.669998,81.870003,619500,74.644772
"428",82.279999,83.290001,81.720001,82.919998,683200,75.602102
"429",83.089996,83.25,82.040001,82.650002,442100,75.355934
"430",82.690002,82.690002,80.739998,80.860001,494700,73.723905
"431",80.790001,82.230003,80.449997,82.110001,442200,74.863589
"432",82.150002,82.25,81.110001,81.769997,403600,74.553591
"433",81.290001,82.540001,80.779999,82.330002,448800,75.064175
"434",82.32,82.32,81.269997,81.849998,425800,74.626533
"435",82,82.529999,81.419998,81.620003,696000,74.416835
"436",81.230003,81.690002,80.779999,81.230003,631600,74.701925
"437",81.410004,81.410004,80.419998,80.589996,299400,74.113352
"438",80.209999,80.449997,79.639999,80.120003,433800,73.68113
"439",79.720001,79.82,78.610001,78.720001,599500,72.39364
"440",78.860001,80.059998,78.720001,79.839996,355000,73.423626
"441",80.470001,80.860001,79.860001,80.669998,342800,74.186925
"442",80.730003,81.75,80.440002,81.349998,386200,74.812277
"443",81.190002,81.349998,80.400002,81.150002,356100,74.628352
"444",81.769997,83.940002,81.559998,83.75,650300,77.019401
"445",83.800003,84.330002,82.18,83.160004,788900,76.47682
"446",83.400002,85,82.949997,84.949997,558200,78.12296
"447",85.370003,86.190002,84.669998,85.690002,906400,78.803495
"448",85.669998,87.129997,84.900002,86.629997,586600,79.667946
"449",86.129997,86.970001,85.459999,86.260002,710200,79.327686
"450",85.870003,86.400002,85.110001,85.480003,668600,78.610372
