"","PCLN.Open","PCLN.High","PCLN.Low","PCLN.Close","PCLN.Volume","PCLN.Adjusted"
"816",950.909973,962.960022,950.52002,957.799988,317800,957.799988
"817",962.419983,965,946.51001,959.150024,592100,959.150024
"818",961.5,968.440002,959.210022,965.659973,391700,965.659973
"819",970.75,979.929993,968.559998,977.5,407500,977.5
"820",977.419983,985.77002,970.840027,981.559998,348700,981.559998
"821",979.22998,982.130005,968.080017,969.789978,310900,969.789978
"822",971.700012,971.700012,960.169983,966.820007,552700,966.820007
"823",979.900024,979.98999,965.890015,967.73999,451300,967.73999
"824",965.969971,973.419983,962.099976,970.23999,279100,970.23999
"825",967.26001,1001,967.02002,995.090027,671200,995.090027
"826",997.47998,1003.309998,989.030029,1000.619995,539700,1000.619995
"827",1000.799988,1007.150024,998.080017,1003.01001,609800,1003.01001
"828",1000,1008.5,986.059998,996.76001,445000,996.76001
"829",997.72998,1013.630005,989.26001,1005.98999,531200,1005.98999
"830",1007.400024,1008.77002,996.179993,997.320007,335900,997.320007
"831",1002.440002,1014.219971,999.47998,1011.609985,378800,1011.609985
"832",1007.690002,1019.950012,1005.099976,1014.969971,447300,1014.969971
"833",1008.929993,1017.48999,1003.099976,1010.950012,467900,1010.950012
"834",1008.02002,1039.310059,1008.02002,1038.27002,598600,1038.27002
"835",1035.640015,1073,1035,1067.380005,1154700,1067.380005
"836",1065.619995,1074.890015,1043.310059,1049.310059,726900,1049.310059
"837",1051.98999,1064,1044.670044,1062.170044,557400,1062.170044
"838",1061.48999,1061.48999,1040.02002,1041.680054,437400,1041.680054
"839",1041.790039,1044.630005,983,998.130005,1369200,998.130005
"840",1001.830017,1001.830017,972.400024,989.030029,1054300,989.030029
"841",1006.409973,1016.48999,1002,1013.190002,758500,1013.190002
"842",1013.190002,1028.349976,1005.469971,1010.630005,830800,1010.630005
"843",1006.559998,1019.48999,993.75,1017.630005,431800,1017.630005
"844",1016.150024,1031.880005,1013,1021.51001,474800,1021.51001
"845",1029,1039,1025.920044,1035.199951,398100,1035.199951
"846",1031.51001,1042,1025.890015,1032.150024,477100,1032.150024
"847",1050,1056.02002,1045.02002,1048.25,925700,1048.25
"848",1053.290039,1089.75,1051,1087.089966,700600,1087.089966
"849",1094.359985,1098.699951,1057.089966,1075.630005,847800,1075.630005
"850",1073.47998,1078.060059,1056.030029,1065.969971,484300,1065.969971
"851",1074,1082.780029,1066,1080.400024,483300,1080.400024
"852",1086.209961,1088.660034,1067.199951,1070.849976,575500,1070.849976
"853",1072.459961,1075,1057,1060.150024,371500,1060.150024
"854",1065.430054,1075,1055.099976,1069.52002,314500,1069.52002
"855",1074.930054,1078,1058.459961,1068.550049,362500,1068.550049
"856",1082,1082,1044,1053.829956,668000,1053.829956
"857",1056,1056.869995,1043.959961,1052.5,534100,1052.5
"858",1057.069946,1071.079956,1047.079956,1070.569946,533800,1070.569946
"859",1070.569946,1085.390015,1060,1082.22998,517000,1082.22998
"860",1079.030029,1085,1051.319946,1058.040039,686800,1058.040039
"861",1056.619995,1062.599976,1020.690002,1022.890015,1328900,1022.890015
"862",1055.959961,1077.140015,1041.680054,1073.199951,1923900,1073.199951
"863",1068.449951,1109.5,1067.109985,1096.5,896800,1096.5
"864",1103.02002,1106.650024,1092.550049,1099.48999,639200,1099.48999
"865",1097.380005,1125.890015,1095.079956,1124.199951,882000,1124.199951
"866",1133,1143.26001,1128.930054,1137.439941,589300,1137.439941
"867",1143.48999,1144.76001,1131.099976,1139.530029,706500,1139.530029
"868",1139.5,1145,1120.959961,1127.930054,614900,1127.930054
"869",1125.02002,1133.77002,1110,1118.420044,539600,1118.420044
"870",1148.300049,1163.97998,1139.449951,1147.089966,975200,1147.089966
"871",1157.640015,1163.48999,1151.069946,1159.109985,493500,1159.109985
"872",1160,1163.25,1152.829956,1158.98999,369900,1158.98999
"873",1164.22998,1165.579956,1156.390015,1159.170044,361000,1159.170044
"874",1162.949951,1182.599976,1155.599976,1177.97998,575400,1177.97998
"875",1182.400024,1193.469971,1179.01001,1187.189941,437800,1187.189941
"876",1194.199951,1198.75,1190.150024,1192.329956,327500,1192.329956
"877",1196.099976,1196.589966,1179.27002,1188.5,435500,1188.5
