"","KMB.Open","KMB.High","KMB.Low","KMB.Close","KMB.Volume","KMB.Adjusted"
"552",82.879992,83.399996,82.550005,83.029999,1515800,72.233192
"553",82.899998,83.580002,82.800004,83.449993,1969800,72.598573
"554",83.480001,84.049994,83.260001,83.949992,2205700,73.033554
"555",83.819991,84.199992,83.680004,84.080001,2186800,73.146658
"556",84.240002,84.499996,84.029988,84.169992,2136800,73.224947
"557",84.029988,84.300001,83.629991,83.849999,2135900,72.946564
"558",83.730008,83.969997,83.330003,83.419994,1245800,72.572474
"559",83.299995,83.999997,83.299995,83.659998,1366300,72.78127
"560",83.599991,83.869996,83.599991,83.619996,1022100,72.74647
"561",83.439999,83.959995,83.439999,83.670001,1081400,72.789972
"562",83.670001,83.769994,83.419994,83.490003,1337300,72.63338
"563",83.389994,83.580002,82.48999,83.480001,2249000,72.624678
"564",83.700001,83.900003,83.280006,83.599991,1854000,72.729066
"565",83.779997,84.389992,83.370005,83.730008,3637400,72.842176
"566",82.889995,83.32,82.600001,82.600001,3404500,72.499857
"567",82.869998,83.629991,82.869998,83.619996,2009300,73.395129
"568",83.76,83.999997,82.660001,82.930005,2248100,72.789509
"569",82.899998,82.91,82.230003,82.370007,1993900,72.297986
"570",82.47,82.769997,82.030001,82.350002,1776300,72.280427
"571",82.429998,82.809999,82.149999,82.339999,1632400,72.271648
"572",82.050006,83.339997,82.050006,83.270003,2469700,73.087933
"573",83.289993,83.389994,81.889997,82.679998,3475300,72.570072
"574",82.649998,83.110003,82.230003,83.019996,2009900,72.868496
"575",82.91,83.629991,82.830004,83.629991,1805000,73.403902
"576",83.629991,84.370003,83.629991,84.370003,2159100,74.053427
"577",84.379989,85.160003,84.379989,85.000003,2367200,74.606392
"578",85.179992,85.499994,85.059994,85.319996,3603500,74.887257
"579",85.199997,85.750001,84.810002,85.600003,1787700,75.133025
"580",85.800006,86.190001,85.499994,85.499994,2204300,75.045245
"581",85.499994,85.849994,85.309993,85.359998,1659600,74.922368
"582",85.519991,85.919988,85.079999,85.690002,1655600,75.212019
"583",85.580006,85.87,85.02,85.780001,1899100,75.291013
"584",85.780001,86.639995,85.610005,86.429998,1834800,75.86153
"585",86.710005,86.910007,86.079997,86.370006,1686400,75.808874
"586",86.649998,86.669995,86.140004,86.449995,1702600,75.879082
"587",86.509994,86.999998,86.509994,86.790001,1301000,76.177513
"588",87.089997,87.150004,86.710005,86.890002,1194000,76.265286
"589",86.829995,86.920002,86.449995,86.649998,1083500,76.054629
"590",86.679997,86.849992,86.040003,86.069994,1596800,75.545547
"591",86.199995,86.80999,85.899999,85.989998,1111200,75.475332
"592",86.410001,86.429998,85.820003,85.989998,986600,75.475332
"593",86.119999,86.47,85.499994,85.65,1186300,75.176908
"594",85.620008,86.559999,85.539996,86.269989,1082500,75.721087
