"","ROST.Open","ROST.High","ROST.Low","ROST.Close","ROST.Volume","ROST.Adjusted"
"297",69.610001,71.959999,69.099998,71.07,13160800,17.063743
"298",71.489998,72.660004,69.440002,71.68,11862400,17.210202
"299",71.849998,72.220001,70.389999,72.029999,9175200,17.294236
"300",71.449997,73.400002,70.480003,72.989998,19490400,17.52473
"301",72.919998,73.449997,70.769997,71.800003,19274400,17.239015
"302",67.550003,72.400002,67,70.839996,33581600,17.008519
"303",70.040001,71.099998,69.239998,70.029999,19643200,16.814041
"304",71.589996,71.779999,70.43,70.889999,17399200,17.020525
"305",71.029999,74.5,70.82,73.650002,11901600,17.683195
"306",73.699997,74.470001,72.489998,73.919998,9737600,17.748021
"307",74.129997,74.720001,71.68,71.760002,8411200,17.229411
"308",71.25,73.940002,70.419998,73.650002,9050400,17.683195
"309",74.099998,75.519997,73.160004,75.510002,8448000,18.129777
"310",75.160004,76.830002,75.160004,76.440002,10900800,18.353068
"311",76.529999,77.68,75.849998,76.550003,12166400,18.432528
"312",76.760002,77.25,74.720001,74.769997,11335200,18.003919
"313",73.779999,74.519997,73.360001,73.599998,9202400,17.722195
"314",72.019997,74.040001,71.550003,73.93,7614400,17.801656
"315",74.599998,75.669998,74.239998,75.599998,7035200,18.203776
"316",75.400002,76.080002,74.589996,74.949997,5520800,18.047262
"317",74.199997,75.349998,73.5,74.089996,8532000,17.840182
"318",73.019997,75.870003,73,75.790001,10039200,18.249527
"319",75.75,77.489998,75.470001,76.980003,8322400,18.536069
"320",77.169998,77.889999,75.629997,76.959999,11495200,18.531252
"321",77.559998,79.269997,77.269997,78.980003,9214400,19.01765
"322",79.440002,81.650002,79.040001,80.669998,17268000,19.424585
"323",79.529999,81.800003,79,81.239998,7289600,19.561836
"324",81.309998,82.980003,80,81.139999,10116000,19.537757
"325",81.099998,81.860001,79.690002,79.730003,9638400,19.198243
"326",78,79.269997,77.169998,78.379997,12569600,18.873174
"327",77.959999,79.690002,77.699997,79.529999,8913600,19.150084
"328",79.809998,80.970001,79.07,80.949997,9392000,19.492006
"329",82.099998,82.57,80.129997,80.559998,10860000,19.398098
"330",80.959999,81.260002,79.290001,79.389999,9242400,19.116373
"331",80.599998,81.470001,77.07,78.389999,16193600,18.875582
"332",77.769997,80.199997,76.809998,78.690002,21314400,18.94782
"333",78.739998,79.230003,76.360001,76.410004,12387200,18.398818
"334",75.809998,77.25,74.480003,77.139999,12169600,18.574594
"335",77.529999,78.279999,75.639999,78.239998,15460000,18.839463
"336",78.599998,82.040001,78.290001,80.760002,18704000,19.446257
"337",81.160004,82.800003,80.839996,81.989998,11447200,19.742429
"338",83,84.279999,82.349998,84.269997,8513600,20.291431
"339",84.360001,85.010002,83.279999,84.949997,8224000,20.455169
"340",85.419998,85.419998,83.440002,83.470001,9565600,20.0988
"341",83.260002,84.209999,82.599998,83.349998,7704800,20.069904
"342",84.190002,85,83.400002,85,5804800,20.467209
"343",84.25,85.669998,83.360001,83.559998,6704800,20.12047
"344",83.480003,85.580002,82.839996,84.849998,7000800,20.43109
"345",85.580002,86.5,84.959999,85.339996,7921600,20.549077
"346",85.349998,86.25,84.57,85.050003,9337600,20.479249
"347",86.059998,87.220001,85.68,87.209999,9743200,20.999356
"348",87.199997,88.709999,86.980003,87.839996,9190400,21.151054
"349",87.629997,88.470001,87.290001,87.650002,5963200,21.105305
"350",88.5,88.529999,85.32,85.980003,12092000,20.703185
"351",88.089996,89.110001,87.150002,88.389999,9444800,21.283489
"352",88.220001,88.879997,86.949997,87.57,6302400,21.086041
"353",87.800003,89.25,87.660004,87.730003,10146400,21.124568
"354",86.620003,87.879997,86.099998,87.019997,7500800,20.953605
"355",87.709999,87.739998,86.089996,86.629997,8307200,20.859697
"356",87.169998,89.629997,85.68,89.190002,13042400,21.476123
"357",89.080002,89.809998,88.190002,89.410004,5114400,21.529097
"358",89.150002,89.769997,88.220001,89.620003,4337600,21.579663
"359",89.989998,90.690002,88.809998,90.32,4903200,21.748215
"360",88.949997,89.419998,86.300003,86.620003,7171200,20.857291
"361",87.599998,88.290001,86.629997,88.07,5856000,21.206436
"362",88.769997,90.099998,87.970001,89.769997,8150400,21.61578
"363",89.839996,89.860001,88.760002,88.989998,4406400,21.427963
"364",88.529999,90.360001,88.440002,89.860001,5601600,21.637452
"365",88.919998,89.07,87.419998,87.889999,7219200,21.163094
"366",87.279999,87.959999,85.389999,86.949997,11848000,20.93675
"367",86.919998,87.230003,84.559998,86.099998,15264000,20.732078
"368",85.260002,87.309998,85.230003,86.910004,9379200,20.92712
"369",86.949997,87.089996,86,86.410004,5671200,20.806725
"370",85.849998,86.769997,85.160004,85.339996,6220000,20.549077
"371",84.519997,85.919998,83.980003,85.43,5222400,20.623916
"372",87.07,88.639999,86.949997,87.510002,6607200,21.126056
"373",87.940002,89.489998,87.5,89.400002,8748800,21.582326
"374",91.199997,91.43,88.230003,89.089996,16055200,21.507487
"375",89.290001,92.790001,89.160004,92.279999,13298400,22.277595
"376",93.160004,93.18,92.300003,92.419998,7425600,22.311393
"377",93.730003,93.790001,92.809998,93.32,7557600,22.528665
"378",93.470001,93.470001,92.099998,92.989998,6492800,22.448998
"379",92.900002,93.519997,92.089996,93.089996,5344800,22.473139
"380",92.730003,93.18,92.050003,92.309998,5725600,22.284837
"381",92.639999,93.620003,92.389999,93.580002,5596800,22.591433
"382",93.150002,93.629997,92.489998,93.5,5765600,22.572119
"383",94.279999,95.239998,92.660004,92.900002,9081600,22.427272
"384",92.599998,93.239998,92.010002,92.830002,6967200,22.410373
"385",93.57,93.830002,92.650002,92.82,13503200,22.407958
"386",46.75,47.509998,46.299999,47,13593200,22.692826
"387",47.34,47.900002,46.130001,46.25,7221600,22.330706
"388",47.02,47.959999,46.970001,47.860001,7982400,23.108057
"389",47.91,48.150002,47.310001,47.810001,5660800,23.083916
"390",47.84,48.07,47.5,47.66,5027600,23.011491
"391",47.75,48.25,47.560001,48.240002,3182000,23.291531
"392",48.25,49.150002,48.09,48.970001,4218000,23.643994
"393",49.130001,49.130001,48.189999,48.48,4160000,23.407408
"394",48.540001,48.860001,48.110001,48.560001,4512400,23.446035
"395",48.529999,48.529999,47.5,47.529999,9328400,22.948723
"396",48.470001,48.529999,47.049999,47.290001,11175200,22.832846
"397",47.290001,48.380001,47.049999,47.619999,11227600,22.992178
"398",48.049999,50.599998,47.75,50.419998,20111600,24.34409
"399",50.470001,50.919998,50.119999,50.740002,9743600,24.498596
