"","FSLR.Open","FSLR.High","FSLR.Low","FSLR.Close","FSLR.Volume","FSLR.Adjusted"
"318",86.809998,86.809998,83.57,86.080002,2476400,86.080002
"319",86.349998,91.809998,84.730003,90.910004,2910600,90.910004
"320",91.279999,92,89.209999,91.5,2223600,91.5
"321",92.18,93.639999,88.309998,90.559998,1924900,90.559998
"322",90.360001,90.910004,84.620003,85.699997,3784000,85.699997
"323",83.989998,84.82,80.589996,83.910004,2407300,83.910004
"324",84.07,84.139999,78.68,79.209999,2359500,79.209999
"325",77.5,79.589996,72.589996,73.519997,6249500,73.519997
"326",68.949997,72.379997,66.190002,66.849998,5500800,66.849998
"327",66,72.489998,61.549999,70.239998,7721500,70.239998
"328",71.419998,73.489998,67.800003,71.720001,2369000,71.720001
"329",73.709999,76,71.660004,72.269997,2044900,72.269997
"330",72.080002,72.330002,64.540001,64.75,3935100,64.75
"331",66.199997,66.980003,62.75,65.029999,2276400,65.029999
"332",63.57,66.639999,62.080002,63.209999,4244900,63.209999
"333",61.830002,63.75,57.869999,57.900002,4321800,57.900002
"334",56.700001,63.299999,55.68,57.779999,6148800,57.779999
"335",58.93,63.25,58.080002,60.869999,3933400,60.869999
"336",61.25,67.720001,60.389999,64.730003,4711800,64.730003
"337",64.849998,65.199997,58.529999,59.740002,3399500,59.740002
"338",60.790001,61.68,58.130001,59.779999,2411000,59.779999
"339",58.900002,60,54.919998,55.91,5799000,55.91
"340",53.57,57.950001,53.049999,57.080002,4076300,57.080002
"341",56.490002,57,54.889999,56.849998,2579300,56.849998
"342",57.669998,59.130001,55.599998,56.23,2908300,56.23
"343",55.029999,55.220001,52.32,52.959999,3403300,52.959999
"344",53.880001,56.650002,52.32,55.91,4594000,55.91
"345",56.25,56.299999,50.880001,51.07,3697500,51.07
"346",51.450001,53.259998,50.869999,52.310001,2869800,52.310001
"347",52.939999,55.119999,52.139999,53.77,3230300,53.77
"348",54.310001,60.990002,53.709999,57.950001,4527000,57.950001
"349",58.110001,58.610001,42.5,43.27,23572600,43.27
"350",47.540001,52.439999,44.759998,46.110001,13289700,46.110001
"351",48.23,55.279999,46.84,52.900002,8256500,52.900002
"352",52.73,54.810001,51.549999,53.990002,3853400,53.990002
"353",52.200001,52.200001,49.119999,49.77,4359200,49.77
"354",47.5,48.07,46.119999,46.779999,3459700,46.779999
"355",47.66,50.099998,46.75,47.23,3744600,47.23
"356",48.450001,48.990002,45.540001,48.18,3407800,48.18
"357",48.68,52.700001,48.18,49.59,4983600,49.59
"358",49.5,49.599998,46.639999,47.740002,3094700,47.740002
"359",48.880001,48.889999,46.82,47.549999,2446000,47.549999
"360",46.099998,46.869999,44.650002,44.98,2796300,44.98
"361",45.98,46,43.459999,45.130001,4102500,45.130001
"362",44.619999,46.630001,44.200001,46.09,1992700,46.09
"363",45.310001,46.279999,44.009998,44.650002,1941300,44.650002
"364",44.049999,45.27,43.799999,45.009998,3226200,45.009998
"365",44.580002,45.869999,43.799999,44.060001,3673800,44.060001
"366",44,47.299999,43.529999,45.610001,5433400,45.610001
"367",45.75,46.439999,44.709999,45.439999,2232700,45.439999
"368",44.049999,44.5,42.810001,43.529999,2889100,43.529999
"369",43.369999,43.900002,40.639999,40.799999,3248900,40.799999
"370",40.75,42.990002,40.049999,41.580002,3796700,41.580002
"371",41.310001,41.630001,40.290001,40.32,1338600,40.32
"372",41.950001,44.560001,41.900002,44.560001,3004600,44.560001
"373",44.049999,45.330002,43.619999,43.810001,2168300,43.810001
"374",45.869999,47.919998,45.75,47.860001,3872100,47.860001
"375",47.630001,48.380001,46.709999,47.549999,2320400,47.549999
"376",48.200001,49.470001,47.330002,47.77,2359100,47.77
"377",48.509998,49.169998,47.119999,47.75,1858600,47.75
"378",47.77,47.950001,45.93,46.110001,1605100,46.110001
"379",49.029999,51.889999,47.560001,47.990002,7162400,47.990002
"380",48.16,48.16,45.110001,45.169998,3072600,45.169998
"381",45.610001,46.5,44.709999,45.669998,2005400,45.669998
"382",45,45.389999,43.830002,44.360001,2054400,44.360001
"383",44.849998,45.25,42.07,42.57,3470500,42.57
"384",37.299999,37.299999,33.080002,33.450001,17279000,33.450001
"385",33.66,33.66,30.040001,31.450001,12635400,31.450001
"386",31.799999,32.189999,29.9,31.91,8075600,31.91
"387",31.639999,33.349998,29.870001,30.5,6825100,30.5
"388",31.15,33.290001,31.15,32.880001,5021400,32.880001
"389",32.720001,33.049999,31.440001,31.799999,3278300,31.799999
"390",32.209999,34.59,32.189999,34.150002,5260700,34.150002
"391",34.799999,35.959999,33.799999,34.700001,5579500,34.700001
"392",34.689999,34.689999,32.709999,32.939999,2939700,32.939999
"393",33.049999,33.5,31.75,32.119999,1867100,32.119999
"394",32.349998,33.029999,31.450001,32.860001,2681500,32.860001
"395",32.959999,33.84,32.740002,33.759998,2015000,33.759998
"396",35,36.639999,34.759998,35.790001,4438700,35.790001
"397",35.57,35.57,33.5,34.700001,4483000,34.700001
"398",34.34,35.889999,33.93,35.48,2610700,35.48
"399",35.689999,35.799999,34.889999,35.27,1934800,35.27
"400",35.119999,37.18,35.119999,36.84,2937300,36.84
"401",37.599998,38.950001,36.970001,38.77,3756600,38.77
"402",39.450001,43.490002,39.02,41.799999,9267700,41.799999
"403",42.400002,42.439999,39.389999,41.59,4274500,41.59
"404",40.799999,41.240002,39.549999,39.919998,2712200,39.919998
"405",41.209999,41.34,39.73,40,2730000,40
"406",40.439999,43.740002,39.939999,42.990002,4322100,42.990002
"407",43.299999,44.16,38.360001,38.700001,10593600,38.700001
"408",38.779999,39.610001,37.900002,38.450001,3945600,38.450001
"409",38.560001,39.630001,37.669998,37.869999,3157600,37.869999
"410",37.549999,38.419998,36.330002,38.080002,2777400,38.080002
"411",38.41,38.959999,37.610001,38.610001,2581900,38.610001
"412",38.900002,41.75,38.900002,40.939999,4675000,40.939999
"413",41.009998,46.27,41,45.540001,7867800,45.540001
"414",44.490002,47.099998,43.290001,43.799999,5113400,43.799999
"415",45.360001,45.48,42.07,42.279999,5193700,42.279999
"416",43.490002,43.779999,42.099998,42.68,2990400,42.68
"417",42.98,45.580002,42.110001,44.740002,3817800,44.740002
"418",45.869999,46.240002,44.939999,45.16,2704500,45.16
"419",45.209999,47.279999,44.540001,46.490002,4110200,46.490002
"420",46.119999,47.990002,46,46.59,3070200,46.59
"421",46.709999,47.360001,45.389999,45.810001,2659900,45.810001
"422",46.299999,50.200001,45.610001,49.029999,8215400,49.029999
"423",46.560001,46.790001,43.669998,43.91,7351600,43.91
"424",44.490002,44.77,41.299999,41.720001,5414400,41.720001
"425",39.919998,40.009998,37.880001,39.209999,7523400,39.209999
"426",39.98,40.330002,39,39.110001,3513400,39.110001
"427",39.240002,39.799999,38.950001,39.709999,2291900,39.709999
"428",43.049999,45.200001,42.23,42.59,9065300,42.59
"429",43.16,43.48,42,42.380001,3150200,42.380001
"430",42.049999,42.049999,40.25,40.450001,3949600,40.450001
"431",38.709999,38.990002,36.650002,37.200001,7914400,37.200001
"432",37.720001,37.93,35.48,35.580002,7069300,35.580002
"433",35.099998,36.349998,34.5,36.130001,4971200,36.130001
"434",36.450001,37.18,35.91,36.400002,7369300,36.400002
"435",33.700001,34.009998,31.860001,32.299999,13180300,32.299999
"436",32.459999,32.549999,30.190001,30.42,11943400,30.42
"437",30.360001,30.76,29.9,30.02,8518900,30.02
"438",29.950001,30.07,27.5,28.08,10973100,28.08
"439",27.59,28.530001,27.5,27.629999,6999700,27.629999
"440",28,28.25,25.5,25.799999,11784700,25.799999
"441",25.549999,26.889999,25.290001,26.15,7110200,26.15
"442",26.049999,27.879999,26.040001,27.49,6814400,27.49
"443",27.6,27.969999,25.6,25.83,7022300,25.83
"444",26.049999,27.42,25.83,27.32,5088800,27.32
"445",28,28.450001,26.860001,27.1,4618500,27.1
