"","GWW.Open","GWW.High","GWW.Low","GWW.Close","GWW.Volume","GWW.Adjusted"
"379",185.080002,186.080002,183.380005,185.350006,337400,175.261824
"380",184.369995,185.630005,182.809998,183.279999,291500,173.304482
"381",184.279999,187.119995,183.960007,186.520004,325600,176.368141
"382",183.5,185,182.479996,183.839996,305400,173.834
"383",185.009995,185.919998,179.600006,180.619995,318600,170.789256
"384",180.199997,181.009995,177.360001,178.089996,361300,168.39696
"385",179.979996,179.979996,177.339996,178.419998,546400,168.709
"386",180,182.839996,178.490005,178.990005,528800,169.247983
"387",180.169998,183.5,179.919998,181.710007,488200,171.819941
"388",183.169998,186.839996,183.169998,186.710007,402600,176.547802
"389",186.649994,187.720001,184.410004,187.470001,309000,177.266432
"390",187.279999,187.330002,184.240005,186.460007,419600,176.311409
"391",187.380005,189.429993,186.050003,189.339996,222000,179.034648
"392",189.199997,193.210007,188.119995,192.309998,408800,181.842998
"393",192.669998,192.669998,187.259995,188.869995,398900,178.590228
"394",188.990005,190.589996,188.229996,189.630005,321900,179.308872
"395",189.699997,189.699997,187.039993,187.190002,218000,177.001673
"396",191.289993,191.470001,185.539993,185.589996,694300,175.488752
"397",184.589996,188.179993,184.369995,187.869995,734200,177.644655
"398",186.75,190.539993,185.600006,190.199997,426800,179.84784
"399",189.830002,191,188.960007,190.339996,289600,179.98022
"400",190.360001,192.089996,190.009995,191.130005,221500,180.72723
"401",193,193.490005,190.509995,191.259995,362600,180.850145
"402",191.080002,193.509995,190.369995,193,231800,182.495446
"403",194.050003,195,193.820007,194.080002,326900,183.516665
"404",192,197.050003,192,196.699997,331700,185.99406
"405",198.360001,201.229996,198.360001,200.449997,518100,189.539956
"406",199.479996,202.300003,198.009995,202.100006,530400,191.100159
"407",203.039993,203.440002,201.020004,202.100006,453200,191.100159
"408",202.25,202.940002,200.339996,200.649994,459300,189.729068
"409",201.690002,204.369995,201.669998,202.649994,321000,191.620212
"410",201.460007,204.619995,201.160004,203.509995,356900,192.433405
"411",197.100006,199.360001,190.589996,195.169998,1065300,184.547336
"412",194.440002,195.179993,191.839996,192.600006,677200,182.117222
