"","VFC.Open","VFC.High","VFC.Low","VFC.Close","VFC.Volume","VFC.Adjusted"
"419",133.210007,133.699997,132,132.759995,3910400,31.091912
"420",133.169998,135.880005,132.25,135.570007,4670800,31.750007
"421",137.220001,141.910004,137,139.630005,6559600,32.700844
"422",140.479996,142.490005,139.539993,142.330002,4656800,33.333173
"423",140.990005,142.220001,140.119995,141.020004,4092000,33.026377
"424",142.160004,142.789993,140.740005,142.75,3356800,33.431535
"425",141.220001,143.669998,141.080002,143.630005,3554400,33.637629
"426",144.429993,146.630005,143.039993,143.25,5519200,33.548634
"427",143.740005,148.839996,143.630005,147.919998,9480800,34.64233
"428",148.779999,149.470001,146.179993,147.050003,5183200,34.438581
"429",147.050003,147.240005,143.910004,144.839996,3525600,33.921005
"430",144.410004,145.5,143.720001,144.75,3537600,33.899928
"431",144.809998,145.440002,143.529999,143.860001,4366400,33.691493
"432",143.669998,146.559998,143.240005,146.419998,4170000,34.291036
"433",145.529999,150,145.160004,148.089996,3841200,34.682143
"434",148.080002,148.589996,146.509995,147.470001,4795200,34.536943
"435",147.460007,147.509995,146.039993,146.050003,4212000,34.204384
"436",147.199997,147.970001,146.25,147.240005,4588400,34.483078
"437",147.220001,147.770004,146.669998,147.259995,4249600,34.48776
"438",146.619995,147.589996,146.320007,146.949997,3302400,34.415159
"439",145.729996,146.5,144.630005,144.850006,3902400,33.923349
"440",144.850006,145.679993,144.179993,144.979996,3672000,34.123409
"441",145.270004,147.309998,145.130005,146.350006,2951200,34.445864
"442",146.899994,147.470001,145.779999,145.800003,3681600,34.316412
"443",145.509995,147.490005,145.070007,146.759995,4956800,34.542361
"444",147.050003,148.550003,146.589996,148.449997,4566400,34.940131
"445",147.270004,148.559998,146.410004,146.979996,3583200,34.594142
"446",146.970001,147.889999,145.440002,147.630005,3634800,34.747132
"447",147.600006,149.850006,147.070007,147.720001,5781600,34.768314
"448",147.399994,148.419998,146.649994,147.889999,3266400,34.808326
"449",147.410004,149.220001,147.240005,148.75,3150000,35.010742
"450",148.75,149.830002,148.190002,148.940002,2990000,35.055462
"451",148.479996,149.449997,147.559998,148.990005,3858000,35.067231
"452",148.270004,149.580002,145.479996,147,5008400,34.59885
"453",147.979996,151.820007,147.979996,151.350006,4715200,35.622695
"454",152,152.5,150.289993,150.820007,4394400,35.497952
"455",150.669998,151,147.949997,148.860001,3776000,35.036632
"456",148.369995,148.639999,146.809998,148.460007,3487600,34.942487
"457",149.320007,149.75,145.929993,145.979996,5709600,34.358776
"458",145.259995,149.970001,144.190002,149.149994,3052000,35.104887
"459",148.690002,150.169998,147.880005,149.820007,3399600,35.262585
"460",148.660004,149.369995,147.490005,148.679993,2204800,34.994264
"461",143.029999,151.559998,143.029999,150.339996,4086400,35.384973
"462",147.699997,149.520004,147.570007,148.839996,2416800,35.031924
"463",148.619995,148.990005,144.149994,144.520004,3489200,34.015143
"464",146.600006,146.619995,145.020004,145.320007,2241200,34.203437
"465",145.339996,146.850006,144.779999,146.720001,2196000,34.532948
"466",146.350006,149.419998,146.25,149.039993,3217200,35.078996
"467",149.449997,150.509995,148.509995,148.960007,3510000,35.06017
"468",149.179993,150.570007,148.960007,150,1845600,35.304949
